frame number,frequency,latency
457,0,127935
458,0,127186
459,0,128132
460,0,127502
461,0,126922
462,0,128751
463,0,130172
464,0,129914
465,0,127639
466,0,126494
467,0,129808
468,0,128840
469,0,127632
470,0,127704
471,0,128185
472,0,127046
473,0,149043
474,0,126600
475,0,128085
476,0,128280
477,0,128378
478,0,126253
479,0,127804
480,0,126872
481,0,127338
482,0,127427
483,0,126527
484,0,127534
485,0,131777
486,0,128178
487,0,129695
488,0,126638
489,0,131245
490,0,126917
491,0,128456
492,0,127206
493,0,130239
494,0,128343
495,0,127072
496,0,133012
497,0,126962
498,0,128132
499,0,127106
500,0,171576
501,0,141819
502,0,126795
503,0,127994
504,0,125726
505,0,129157
506,0,126878
507,0,128165
508,0,126501
509,0,132141
510,0,127461
511,0,126604
512,0,121198
513,0,131849
514,0,126788
515,0,127317
516,0,128002
517,0,126339
518,0,125852
519,0,126222
520,0,128963
521,0,128802
522,0,125465
523,0,125714
524,0,124767
525,0,126697
526,0,125598
527,0,125928
528,0,127501
529,0,124315
530,0,145872
531,0,134071
532,0,131479
533,0,130749
534,0,132145
535,0,130672
536,0,130617
537,0,131267
538,0,132155
539,0,134195
540,0,130751
541,0,132652
542,0,132500
543,0,131463
544,0,130852
545,0,132081
546,0,131475
547,0,132077
548,0,131893
549,0,131351
550,0,133888
551,0,132234
552,0,130474
553,0,131470
554,0,131326
555,0,136293
556,0,130981
557,0,132040
558,0,130926
559,0,131696
560,0,131854
561,0,131183
562,0,133381
563,0,131827
564,0,131378
565,0,131285
566,0,131725
567,0,131776
568,0,130270
569,0,133225
570,0,132488
571,0,133332
572,0,131348
573,0,131460
574,0,131575
575,0,133754
576,0,131387
577,0,131372
578,0,132921
579,0,130852
580,0,130890
581,0,131471
582,0,132504
583,0,134485
584,0,130778
585,0,132512
586,0,131765
587,0,132655
588,0,131072
589,0,132342
590,0,131126
591,0,134739
592,0,132786
593,0,131013
594,0,130528
595,0,132152
596,0,131432
597,0,130861
598,0,131049
599,0,131720
600,0,130888
601,0,131977
602,0,130389
603,0,133213
604,0,130851
605,0,132100
606,0,131626
607,0,131971
608,0,132176
609,0,131071
610,0,130254
611,0,127400
612,0,133017
613,0,133305
614,0,130996
