frame number,frequency,latency
455,0,115590
456,0,117782
457,0,117855
458,0,117958
459,0,116046
460,0,116759
461,0,118342
462,0,118005
463,0,122739
464,0,129098
465,0,104368
466,0,117597
467,0,127260
468,0,119166
469,0,118245
470,0,118490
471,0,119349
472,0,118667
473,0,126023
474,0,129251
475,0,121200
476,0,132744
477,0,135135
478,0,119908
479,0,131301
480,0,132250
481,0,119282
482,0,132770
483,0,131951
484,0,120288
485,0,134192
486,0,134689
487,0,135222
488,0,137836
489,0,125764
490,0,134253
491,0,136163
492,0,134570
493,0,134602
494,0,122575
495,0,134795
496,0,135240
497,0,124014
498,0,134563
499,0,135455
500,0,136308
501,0,134914
502,0,122823
503,0,134732
504,0,138402
505,0,134425
506,0,135577
507,0,121369
508,0,133983
509,0,136058
510,0,122476
511,0,134497
512,0,135392
513,0,134901
514,0,134780
515,0,122190
516,0,135462
517,0,135214
518,0,135459
519,0,136687
520,0,126251
521,0,126468
522,0,132828
523,0,124982
524,0,181076
525,0,143244
526,0,129703
527,0,120656
528,0,122483
529,0,133696
530,0,134540
531,0,121354
532,0,128898
533,0,122431
534,0,133518
535,0,134459
536,0,121365
537,0,125471
538,0,134033
539,0,120537
540,0,129346
541,0,134693
542,0,138597
543,0,130990
544,0,122034
545,0,130897
546,0,131415
547,0,130297
548,0,130898
549,0,118209
550,0,129303
551,0,131199
552,0,118313
553,0,124928
554,0,129895
555,0,118163
556,0,125044
557,0,129970
558,0,123172
559,0,132195
560,0,120374
561,0,130857
562,0,131767
563,0,118880
564,0,134702
565,0,134332
566,0,123438
567,0,130658
568,0,117607
569,0,116083
570,0,127950
571,0,118670
572,0,130543
573,0,131941
574,0,118867
575,0,129399
576,0,133977
577,0,118941
578,0,124829
579,0,132748
580,0,130741
581,0,131024
582,0,122769
583,0,133867
584,0,155428
585,0,132251
586,0,134035
587,0,119361
588,0,123856
589,0,132966
590,0,120011
591,0,127007
592,0,134123
593,0,123577
594,0,134261
595,0,121684
596,0,178461
597,0,144289
598,0,121719
599,0,129411
600,0,123866
601,0,134067
602,0,134385
603,0,122052
604,0,165981
605,0,124520
606,0,133669
607,0,134460
608,0,121359
609,0,127509
610,0,133099
611,0,118136
612,0,124417
613,0,129310
614,0,118937
615,0,136092
616,0,142347
617,0,122619
618,0,127914
619,0,123561
620,0,130336
621,0,132238
622,0,118556
623,0,164361
624,0,137717
625,0,118164
626,0,124390
627,0,129087
628,0,118995
629,0,130062
630,0,130266
631,0,118471
632,0,125607
633,0,130788
634,0,117965
635,0,126478
636,0,130301
637,0,131099
638,0,130905
639,0,118022
640,0,129770
641,0,130581
642,0,119760
643,0,124201
644,0,132595
645,0,165054
646,0,140511
647,0,121510
648,0,133729
649,0,134856
650,0,122534
651,0,127992
652,0,122149
653,0,133261
654,0,130421
655,0,117352
656,0,129109
657,0,130900
658,0,118514
659,0,128995
660,0,131585
661,0,118636
662,0,122994
663,0,129762
664,0,119084
665,0,125048
666,0,132182
667,0,120523
668,0,126618
669,0,134656
670,0,120567
671,0,129237
672,0,117409
673,0,129194
674,0,130240
675,0,118297
676,0,129623
677,0,135012
678,0,117741
679,0,123327
680,0,129950
681,0,118534
682,0,139353
683,0,120721
684,0,132633
685,0,132117
686,0,118836
687,0,128421
688,0,130247
689,0,117176
690,0,123571
691,0,128356
692,0,116509
693,0,121607
694,0,129342
695,0,117422
696,0,123010
697,0,130894
698,0,117622
699,0,122115
700,0,130346
701,0,116791
702,0,124085
703,0,129240
704,0,115434
705,0,126532
706,0,129579
707,0,130535
708,0,129708
709,0,117344
710,0,129649
711,0,128973
712,0,117266
713,0,123820
714,0,130055
715,0,117090
716,0,123880
717,0,130188
718,0,130934
719,0,130249
720,0,118842
721,0,117143
722,0,116938
723,0,117034
724,0,117501
725,0,125352
726,0,130331
727,0,116907
728,0,123844
729,0,131984
730,0,117277
731,0,123941
732,0,129977
733,0,117675
734,0,124236
735,0,129959
736,0,129689
737,0,131452
738,0,120117
739,0,129381
740,0,129901
741,0,118813
742,0,123816
743,0,128625
744,0,118412
745,0,117048
746,0,118888
747,0,116302
748,0,117881
749,0,117439
750,0,117363
751,0,116840
752,0,117596
753,0,117190
754,0,116982
755,0,117756
756,0,117680
757,0,117266
758,0,117087
759,0,117907
760,0,118063
761,0,117558
762,0,118339
763,0,116388
764,0,118221
765,0,116804
766,0,125146
767,0,118988
768,0,130372
769,0,117718
770,0,116781
771,0,117374
772,0,117829
773,0,125256
774,0,118911
775,0,117696
776,0,117262
777,0,117370
778,0,119710
779,0,118216
780,0,118315
781,0,126272
782,0,117548
783,0,118745
784,0,125062
785,0,118087
786,0,117954
787,0,117940
788,0,118879
789,0,114478
790,0,125715
791,0,118105
792,0,117696
793,0,117515
794,0,119192
795,0,117189
796,0,118130
797,0,117751
798,0,118400
799,0,118918
800,0,117427
801,0,116712
802,0,118274
803,0,116964
804,0,115735
805,0,125671
806,0,119508
807,0,118028
808,0,116899
809,0,132832
810,0,124153
811,0,133823
812,0,120950
813,0,132756
814,0,135000
815,0,116690
816,0,117937
817,0,130065
818,0,120760
819,0,133794
820,0,134579
821,0,120072
822,0,126721
823,0,132448
824,0,120551
825,0,128658
826,0,120511
827,0,133158
828,0,132652
829,0,120775
830,0,134296
831,0,133275
832,0,129565
833,0,130257
834,0,118273
835,0,128885
836,0,129257
837,0,118086
838,0,129479
839,0,129520
840,0,117262
841,0,123823
842,0,131100
843,0,117276
844,0,124275
845,0,128242
846,0,125720
847,0,128661
848,0,118818
849,0,130635
850,0,132966
851,0,119153
852,0,129436
853,0,130155
854,0,118005
855,0,124141
856,0,130313
857,0,118478
858,0,124167
859,0,130286
860,0,130597
861,0,130809
862,0,120553
863,0,129868
864,0,131850
865,0,119905
866,0,127513
867,0,118718
868,0,130352
869,0,131831
870,0,137938
871,0,135535
872,0,135778
873,0,122288
874,0,134908
875,0,136553
876,0,121226
877,0,130403
878,0,119637
879,0,118513
880,0,129579
881,0,120961
882,0,121615
883,0,129562
884,0,120297
885,0,119405
886,0,129395
887,0,115194
888,0,115108
889,0,115495
890,0,116148
891,0,131511
892,0,124232
893,0,129313
894,0,118004
895,0,123850
896,0,129787
897,0,117607
898,0,124350
899,0,132119
900,0,118250
901,0,124114
902,0,130821
903,0,118097
904,0,127559
905,0,116019
906,0,124341
907,0,131816
908,0,120772
909,0,130794
910,0,131269
911,0,131141
912,0,191606
913,0,117066
914,0,130805
915,0,118368
916,0,130021
917,0,131238
918,0,117633
919,0,124249
920,0,130443
921,0,118608
922,0,122624
923,0,132219
924,0,118860
925,0,125793
926,0,132011
927,0,118225
928,0,125594
929,0,131202
930,0,130815
931,0,130703
932,0,117438
933,0,123069
934,0,130672
935,0,117621
936,0,123844
937,0,130100
938,0,117638
939,0,121384
940,0,129499
941,0,117613
942,0,122832
943,0,130605
944,0,118369
945,0,125058
946,0,131059
947,0,117217
948,0,125229
949,0,130097
950,0,131279
951,0,131935
952,0,122470
953,0,129861
954,0,139248
955,0,135278
956,0,134843
957,0,134121
958,0,135280
959,0,120866
960,0,127071
961,0,134449
962,0,125015
963,0,135174
964,0,121620
965,0,132831
966,0,158643
967,0,120828
968,0,127271
969,0,131139
970,0,119988
971,0,126282
972,0,119626
