frame number,frequency,latency
401,10,13599
402,10,8881
403,10,10281
404,10,8671
405,10,17511
406,10,14990
407,10,11760
408,10,9554
409,10,11716
410,10,8357
411,10,15221
412,10,14225
413,10,17697
414,10,18231
415,10,11556
416,10,11050
417,10,12130
418,10,15501
419,10,15821
420,10,9208
421,10,8726
422,10,8659
423,10,18228
424,10,18789
425,10,14918
426,10,11647
427,10,28707
428,10,8560
429,10,8716
430,10,14349
431,10,19195
432,10,14878
433,10,10720
434,10,9746
435,10,9507
436,10,8468
437,10,14642
438,10,13326
439,10,19550
440,10,15421
441,10,14846
442,10,17796
443,10,14543
444,10,14564
445,10,10030
446,10,9961
447,10,14992
448,10,14360
449,10,15106
450,10,14612
451,10,15092
452,10,9792
453,10,8399
454,10,9438
455,10,15996
456,10,14165
457,10,18900
458,10,15438
459,10,19836
460,10,13371
461,10,13517
462,10,28653
463,10,9582
464,10,10713
465,10,8838
466,10,10534
467,10,8241
468,10,14976
469,10,14321
470,10,28561
471,10,9278
472,10,9649
473,10,15150
474,10,8396
475,10,14107
476,10,18825
477,10,15436
478,10,14749
479,10,13178
480,10,9966
481,10,12920
482,10,8836
483,10,14055
484,10,16451
485,10,17725
486,10,14378
487,10,14065
488,10,14398
489,10,10132
490,10,9405
491,10,7814
492,10,14503
493,10,14359
494,10,15326
495,10,15178
496,10,12135
497,10,10613
498,10,16674
499,10,14969
500,10,18155
501,10,14542
502,10,14432
503,10,15464
504,10,15918
505,10,14530
506,10,13650
507,10,14856
508,10,10217
509,10,9054
510,10,10495
511,10,13891
512,10,15085
513,10,15482
514,10,17968
515,10,8047
516,10,17518
517,10,8293
518,10,8519
519,10,9290
520,10,14760
521,10,14344
522,10,9513
523,10,14305
524,10,14859
525,10,14597
526,10,14597
527,10,9025
528,10,8931
529,10,17438
530,10,15096
531,10,14188
532,10,13641
533,10,14558
534,10,13081
535,10,19223
536,10,14634
537,10,14291
538,10,13064
539,10,9517
540,10,13901
541,10,14978
542,10,15758
543,10,14491
544,10,13745
545,10,18423
546,10,9403
547,10,8806
548,10,8284
549,10,14946
550,10,8505
551,10,8779
552,10,14620
553,10,15083
554,10,14501
555,10,34020
556,10,8431
557,10,8428
558,10,8711
559,10,28598
560,10,14719
561,10,14323
562,10,13081
563,10,8811
564,10,13519
565,10,8823
566,10,9073
567,10,14668
568,10,18131
569,10,15424
570,10,14687
571,10,8830
572,10,13121
573,10,12980
574,10,14538
575,10,14072
576,10,9054
577,10,8174
578,10,8325
579,10,12240
580,10,13432
581,10,18270
582,10,14523
583,10,9077
584,10,10234
585,10,8480
586,10,8634
587,10,8371
588,10,13981
589,10,15309
590,10,13992
591,10,20551
592,10,18031
593,10,8420
594,10,9947
595,10,14814
596,10,14852
597,10,22333
598,10,8503
599,10,15074
600,10,14222
601,10,18555
602,10,8467
603,10,8928
604,10,8483
605,10,12217
606,10,14931
607,10,15198
608,10,16282
609,10,15638
610,10,15379
611,10,16130
612,10,17049
613,10,14679
614,10,14587
615,10,7846
616,10,12759
617,10,10230
618,10,13760
619,10,14100
620,10,14792
621,10,8326
622,10,9488
623,10,8000
624,10,19502
625,10,15159
626,10,13940
627,10,18408
628,10,14608
629,10,15491
630,10,8166
631,10,8212
632,10,15156
633,10,8737
634,10,8123
635,10,14428
636,10,25617
637,10,9643
638,10,13319
639,10,9363
640,10,9321
641,10,8887
642,10,8204
643,10,15206
644,10,18908
645,10,13192
646,10,14699
647,10,13779
648,10,12904
649,10,8011
650,10,14680
651,10,19081
652,10,17866
653,10,14610
654,10,8071
655,10,17469
656,10,9206
657,10,14470
658,10,10561
659,10,8735
660,10,8706
661,10,8632
662,10,17288
663,10,15109
664,10,13726
665,10,9644
666,10,14650
667,10,15649
668,10,14387
669,10,13550
670,10,17439
671,10,14642
672,10,15132
673,10,17783
674,10,15028
675,10,8639
676,10,8320
677,10,12968
678,10,8346
679,10,8280
680,10,13566
681,10,8389
682,10,14516
683,10,14549
684,10,14576
685,10,14631
686,10,17654
687,10,10466
688,10,10621
689,10,9166
690,10,27595
691,10,15342
692,10,13639
693,10,15608
694,10,17793
695,10,8133
696,10,28344
697,10,8412
698,10,8773
699,10,9059
700,10,8655
701,10,8101
702,10,16199
703,10,9826
704,10,18642
705,10,8709
706,10,28294
707,10,14489
708,10,11708
709,10,8589
710,10,9108
711,10,9798
712,10,14281
713,10,16499
714,10,12960
715,10,13417
716,10,9105
717,10,8909
718,10,9122
719,10,8563
720,10,9458
721,10,10344
722,10,8387
723,10,16283
