frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1464,1920,1080,1704147747735167143,1704147747867661060,25,132493917,81,1
1481,1920,1080,1704147750753134065,1704147750877321131,25,124187066,82,1
1482,1920,1080,1704147750955191313,1704147751087862908,25,132671595,83,1
1489,1920,1080,1704147752134838101,1704147752271275263,25,136437162,84,1
1491,1920,1080,1704147752509924790,1704147752631231344,25,121306554,85,1
1498,1920,1080,1704147753829225608,1704147753960240100,25,131014492,86,1
1501,1920,1080,1704147754326352564,1704147754471377595,25,145025031,87,1
1520,1920,1080,1704147757687617202,1704147757819955776,30,132338574,88,1
1549,1920,1080,1704147762893012347,1704147763026469991,30,133457644,89,1
1568,1920,1080,1704147766170380769,1704147766310422490,30,140041721,90,1
1570,1920,1080,1704147766511619685,1704147766653770871,30,142151186,91,1
1575,1920,1080,1704147767348653477,1704147767490766326,30,142112849,92,1
1595,1920,1080,1704147770670967369,1704147770806836163,30,135868794,93,1
1604,1920,1080,1704147772343250509,1704147772477193183,30,133942674,94,1
1613,1920,1080,1704147774077607515,1704147774212230899,30,134623384,95,1
1616,1920,1080,1704147774566337284,1704147774693936564,30,127599280,96,1
1655,1920,1080,1704147780938105093,1704147781072677473,30,134572380,97,1
1672,1920,1080,1704147783887729787,1704147784023651586,30,135921799,98,1
1674,1920,1080,1704147784299272417,1704147784423620161,30,124347744,99,1
1691,1920,1080,1704147787520424025,1704147787660389742,30,139965717,100,1
1705,1920,1080,1704147790053022087,1704147790189112229,30,136090142,101,1
1714,1920,1080,1704147791483773193,1704147791615633739,30,131860546,102,1
1729,1920,1080,1704147794002016364,1704147794139659936,30,137643572,103,1
1732,1920,1080,1704147794588932584,1704147794723505632,30,134573048,104,1
1772,1920,1080,1704147801748829848,1704147801880637057,30,131807209,105,1
1783,1920,1080,1704147803591944976,1704147803722908466,30,130963490,106,1
1791,1920,1080,1704147804905769806,1704147805031339960,30,125570154,107,1
1798,1920,1080,1704147806182830013,1704147806318006099,30,135176086,108,1
1800,1920,1080,1704147806535288965,1704147806663741966,30,128453001,109,1
1810,1920,1080,1704147808124436944,1704147808260531087,35,136094143,110,1
1831,1920,1080,1704147811513010334,1704147811652844044,35,139833710,111,1
1835,1920,1080,1704147812186464281,1704147812319430563,35,132966282,112,1
1879,1920,1080,1704147819695758676,1704147819825050062,35,129291386,113,1
1882,1920,1080,1704147820232107417,1704147820362610546,35,130503129,114,1
1884,1920,1080,1704147820570302482,1704147820701943682,35,131641200,115,1
1907,1920,1080,1704147824698317943,1704147824831902597,35,133584654,116,1
1914,1920,1080,1704147825971907607,1704147826107927080,35,136019473,117,1
1926,1920,1080,1704147827842741807,1704147827980889079,35,138147272,118,1
1928,1920,1080,1704147828245819248,1704147828384492886,35,138673638,119,1
1956,1920,1080,1704147833240644045,1704147833366066524,35,125422479,120,1
1967,1920,1080,1704147835186078562,1704147835319920899,35,133842337,121,1
1968,1920,1080,1704147835388017474,1704147835524266961,35,136249487,122,1
1981,1920,1080,1704147837639194038,1704147837766961997,35,127767959,123,1
1986,1920,1080,1704147838445348588,1704147838576288745,35,130940157,124,1
1992,1920,1080,1704147839444685173,1704147839577698459,35,133013286,125,1
1997,1920,1080,1704147840331107391,1704147840464995398,35,133888007,126,1
2011,1920,1080,1704147842720989264,1704147842854982944,35,133993680,127,1
2026,1920,1080,1704147845262226901,1704147845410590477,35,148363576,128,1
2070,1920,1080,1704147852182231983,1704147852314478222,35,132246239,129,1
2080,1920,1080,1704147853975328019,1704147854112166877,35,136838858,130,1
2084,1920,1080,1704147854756300005,1704147854892488822,35,136188817,131,1
2090,1920,1080,1704147855783782013,1704147855922987019,35,139205006,132,1
2092,1920,1080,1704147856179731013,1704147856309833451,35,130102438,133,1
2093,1920,1080,1704147856386782578,1704147856521320293,35,134537715,134,1
2094,1920,1080,1704147856590510270,1704147856713841953,35,123331683,135,1
2108,1920,1080,1704147859160299028,1704147859296975542,40,136676514,136,1
2126,1920,1080,1704147862295276330,1704147862420614805,40,125338475,137,1
2139,1920,1080,1704147864498031893,1704147864628905379,40,130873486,138,1
2148,1920,1080,1704147866046420022,1704147866179158292,40,132738270,139,1
2149,1920,1080,1704147866246982184,1704147866381419893,40,134437709,140,1
2151,1920,1080,1704147866581120001,1704147866712289839,40,131169838,141,1
2169,1920,1080,1704147869127753989,1704147869259049835,40,131295846,142,1
2188,1920,1080,1704147872190456129,1704147872324145458,40,133689329,143,1
2205,1920,1080,1704147875184161641,1704147875324111026,40,139949385,144,1
2212,1920,1080,1704147876293331411,1704147876422797143,40,129465732,145,1
2216,1920,1080,1704147876939780352,1704147877071050531,40,131270179,146,1
2237,1920,1080,1704147880371778507,1704147880499746813,40,127968306,147,1
2254,1920,1080,1704147883398320403,1704147883532469428,40,134149025,148,1
2303,1920,1080,1704147890825070122,1704147890969472452,40,144402330,149,1
2306,1920,1080,1704147891316143718,1704147891453344600,40,137200882,150,1
2307,1920,1080,1704147891517853286,1704147891656297911,40,138444625,151,1
2315,1920,1080,1704147892816875222,1704147892952717019,40,135841797,152,1
2316,1920,1080,1704147893015856953,1704147893154757274,40,138900321,153,1
2317,1920,1080,1704147893218258230,1704147893353100298,40,134842068,154,1
2357,1920,1080,1704147899543100975,1704147899674316818,40,131215843,155,1
2384,1920,1080,1704147903813525055,1704147903954912198,40,141387143,156,1
2406,1920,1080,1704147907157097722,1704147907289334961,40,132237239,157,1
2421,1920,1080,1704147909399375103,1704147909540466227,45,141091124,158,1
2434,1920,1080,1704147911694331767,1704147911823878172,45,129546405,159,1
2440,1920,1080,1704147912650236996,1704147912779698063,45,129461067,160,1
2459,1920,1080,1704147915979682122,1704147916111632344,45,131950222,161,1
2463,1920,1080,1704147916576975673,1704147916710612334,45,133636661,162,1
2469,1920,1080,1704147917533852964,1704147917669276736,45,135423772,163,1
2475,1920,1080,1704147918553919192,1704147918690850725,45,136931533,164,1
2495,1920,1080,1704147921912643147,1704147922048130923,45,135487776,165,1
2500,1920,1080,1704147922739412998,1704147922889090991,45,149677993,166,1
2501,1920,1080,1704147922957273573,1704147923091000240,45,133726667,167,1
2503,1920,1080,1704147923340356778,1704147923479773798,45,139417020,168,1
2510,1920,1080,1704147924439209250,1704147924578601269,45,139392019,169,1
2512,1920,1080,1704147924785500161,1704147924923103736,45,137603575,170,1
2527,1920,1080,1704147927168599326,1704147927305458854,45,136859528,171,1
2542,1920,1080,1704147929630076376,1704147929763081331,45,133004955,172,1
2567,1920,1080,1704147933666468901,1704147933801227631,45,134758730,173,1
2591,1920,1080,1704147937468062797,1704147937615015621,45,146952824,174,1
2613,1920,1080,1704147940749781633,1704147940890299390,45,140517757,175,1
2628,1920,1080,1704147943224829536,1704147943359062901,45,134233365,176,1
2657,1920,1080,1704147948002687945,1704147948143320375,45,140632430,177,1
2658,1920,1080,1704147948203012095,1704147948346888395,45,143876300,178,1
2674,1920,1080,1704147950878292480,1704147951010070025,45,131777545,179,1
2687,1920,1080,1704147953140148769,1704147953269177476,45,129028707,180,1
2696,1920,1080,1704147954567004689,1704147954699195260,45,132190571,181,1
2706,1920,1080,1704147956000469354,1704147956136498831,45,136029477,182,1
2723,1920,1080,1704147958703779157,1704147958839806300,50,136027143,183,1
2727,1920,1080,1704147959351028160,1704147959478803456,50,127775296,184,1
2728,1920,1080,1704147959537652790,1704147959672001829,50,134349039,185,1
2744,1920,1080,1704147962212950182,1704147962358395246,50,145445064,186,1
2750,1920,1080,1704147963316621297,1704147963458042110,50,141420813,187,1
2753,1920,1080,1704147963833738524,1704147963959295349,50,125556825,188,1
2755,1920,1080,1704147964213781875,1704147964354432641,50,140650766,189,1
2769,1920,1080,1704147966608631458,1704147966747330436,50,138698978,190,1
2771,1920,1080,1704147967002096313,1704147967134507898,50,132411585,191,1
2775,1920,1080,1704147967691373936,1704147967827420415,50,136046479,192,1
2782,1920,1080,1704147968837421360,1704147968972222094,50,134800734,193,1
2786,1920,1080,1704147969557732585,1704147969692749332,50,135016747,194,1
2789,1920,1080,1704147970022412878,1704147970158348349,50,135935471,195,1
2812,1920,1080,1704147973736579020,1704147973869530306,50,132951286,196,1
2814,1920,1080,1704147974066711262,1704147974204724863,50,138013601,197,1
