frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
63,1920,1080,1704135390786652165,1704135390950314845,5,163662680,1,1
157,1920,1080,1704135421420977946,1704135421552146640,5,131168694,2,1
182,1920,1080,1704135429270132964,1704135429406519977,5,136387013,3,1
190,1920,1080,1704135431842314383,1704135431979029750,5,136715367,4,1
193,1920,1080,1704135432890601873,1704135433024520069,5,133918196,5,1
194,1920,1080,1704135433262283287,1704135433396028139,5,133744852,6,1
202,1920,1080,1704135435854803955,1704135435989205181,5,134401226,7,1
234,1920,1080,1704135446296659390,1704135446429955882,5,133296492,8,1
250,1920,1080,1704135451445972910,1704135451578448686,5,132475776,9,1
260,1920,1080,1704135454760092772,1704135454896428784,5,136336012,10,1
281,1920,1080,1704135461839671142,1704135461965048484,5,125377342,11,1
284,1920,1080,1704135462849646969,1704135462979942278,5,130295309,12,1
288,1920,1080,1704135464197064453,1704135464328796517,5,131732064,13,1
345,1920,1080,1704135478479396153,1704135478615821172,10,136425019,14,1
356,1920,1080,1704135481069790080,1704135481211614430,10,141824350,15,1
408,1920,1080,1704135492730497367,1704135492866244012,10,135746645,16,1
432,1920,1080,1704135498176135476,1704135498313304542,10,137169066,17,1
439,1920,1080,1704135499924651209,1704135500060163507,10,135512298,18,1
463,1920,1080,1704135505391249619,1704135505526074542,10,134824923,19,1
473,1920,1080,1704135507837065725,1704135507972195999,10,135130274,20,1
492,1920,1080,1704135512285752151,1704135512423242904,10,137490753,21,1
506,1920,1080,1704135515807451150,1704135515946894023,10,139442873,22,1
557,1920,1080,1704135528037899841,1704135528182061337,10,144161496,23,1
565,1920,1080,1704135529890238288,1704135530021460658,10,131222370,24,1
592,1920,1080,1704135536134292385,1704135536257526933,10,123234548,25,1
618,1920,1080,1704135541720235522,1704135541851048868,15,130813346,26,1
626,1920,1080,1704135543184494543,1704135543321930627,15,137436084,27,1
634,1920,1080,1704135544855991924,1704135544989169082,15,133177158,28,1
635,1920,1080,1704135545094181514,1704135545220968947,15,126787433,29,1
636,1920,1080,1704135545331674728,1704135545466611993,15,134937265,30,1
669,1920,1080,1704135551438818478,1704135551565704917,15,126886439,31,1
740,1920,1080,1704135565587677866,1704135565724478580,15,136800714,32,1
835,1920,1080,1704135584953643967,1704135585082215177,15,128571210,33,1
836,1920,1080,1704135585188520690,1704135585316046170,15,127525480,34,1
840,1920,1080,1704135586024402569,1704135586160083882,15,135681313,35,1
841,1920,1080,1704135586266660412,1704135586392471787,15,125811375,36,1
855,1920,1080,1704135589175846320,1704135589312899384,15,137053064,37,1
870,1920,1080,1704135592042232943,1704135592194016909,15,151783966,38,1
871,1920,1080,1704135592283078366,1704135592415281799,15,132203433,39,1
872,1920,1080,1704135592519821871,1704135592643807468,15,123985597,40,1
877,1920,1080,1704135593550858377,1704135593702953696,15,152095319,41,1
946,1920,1080,1704135606890811423,1704135607026624079,20,135812656,42,1
987,1920,1080,1704135614311035444,1704135614441292093,20,130256649,43,1
993,1920,1080,1704135615481755517,1704135615614472650,20,132717133,44,1
1003,1920,1080,1704135617261585916,1704135617394706074,20,133120158,45,1
1028,1920,1080,1704135621864163962,1704135621993234205,20,129070243,46,1
1036,1920,1080,1704135623427048737,1704135623561920669,20,134871932,47,1
1045,1920,1080,1704135625359484827,1704135625490718202,20,131233375,48,1
1062,1920,1080,1704135628284189393,1704135628424829679,20,140640286,49,1
1081,1920,1080,1704135631734850528,1704135631877672614,20,142822086,50,1
1082,1920,1080,1704135631969348899,1704135632110328873,20,140979974,51,1
1107,1920,1080,1704135637018371662,1704135637149233682,20,130862020,52,1
1143,1920,1080,1704135643682100396,1704135643820836899,20,138736503,53,1
1164,1920,1080,1704135647512034128,1704135647647907455,20,135873327,54,1
1166,1920,1080,1704135647954961941,1704135648095710567,20,140748626,55,1
1176,1920,1080,1704135650056067717,1704135650195961292,20,139893575,56,1
